quad,row,xsample,side,ysample,species,tag,gbh03,gbh08,gbh14,stem,x,y,year_08,not new 2008,not new 2014,notes03,notes07,notes08,notes14,code08,code14
A,1,76.5,L,0.7,Black Cherry,4485,14.4,16,0,1,76.5,105.7,2008,,,,,,,,S
A,1,76.7,L,2.5,Red Maple,4487,22.2,25.9,28,1,76.7,107.5,2008,,,,,,,,
A,1,77.7,L,2,Serviceberry,12026,0,0,7.9,1,77.7,107,,,,,,,,,
A,1,77.7,L,1.4,Black Oak,4486,107.5,110.8,115.5,1,77.7,106.4,2008,,,,,,,,
A,1,77.7,L,2,Serviceberry,12026,0,0,6.9,2,77.7,107,,,,,,,,,
A,1,80.2,L,2.5,Red Maple,4483,27.6,36.3,39.3,1,80.2,107.5,2008,,,,,,,,
A,1,80.5,L,0.8,Serviceberry,4484,11.7,12.5,13,1,80.5,105.8,2008,,,,,,,,
A,1,80.7,L,4.6,Red Maple,12025,0,0,6.6,1,80.7,109.6,,,,,,,,,
A,1,82.2,L,1.2,Black Cherry,4481,17.4,19.4,0,1,82.2,106.2,2008,,,,,,,,S
A,1,82.3,L,3.6,Red Maple,4482,10,11.1,12.6,1,82.3,108.6,2008,,,,,,,,
A,1,82.7,L,0.4,Serviceberry,4480,16.2,17,18,1,82.7,105.4,2008,,,,,,,,
A,1,83.1,L,2,Serviceberry,12024,0,0,6.3,1,83.1,107,,,,,,,,,
A,1,83.3,L,3.6,Red Maple,4478,25.2,31.8,38.8,1,83.3,108.6,2008,,,,,,,,
A,1,83.8,L,4.7,Black Cherry,4477,10.7,11.1,0,1,83.8,109.7,2008,,,,,,,,S
A,1,83.9,L,2.5,Black Cherry,4479,16.6,16.9,0,1,83.9,107.5,2008,,,,,,,,S
A,1,84.3,L,3.8,Serviceberry,12023,0,0,9.1,1,84.3,108.8,,,,,,,,,
A,1,85.2,L,1,Black Cherry,4476,10.5,11.2,0,1,85.2,106,2008,,,,,,,,S
A,1,85.5,L,3.8,Serviceberry,4475,17.2,17.9,18.5,1,85.5,108.8,2008,,,,,,,,
A,1,87,L,0.4,Black Cherry,4473,12.3,12.1,0,1,87,105.4,2008,,,,,,,,S
A,1,87,L,4.1,Serviceberry,4474,21.3,23.6,25,1,87,109.1,2008,,,,,,,,
A,1,87.3,L,0.6,Red Maple,4472,15.3,18.5,23,1,87.3,105.6,2008,,,,,,,,
A,1,92,L,2.3,Black Cherry,4471,22.6,26.7,0,1,92,107.3,2008,,,,,,,,S
A,1,93.2,L,1.4,White Oak,4470,77.9,81.6,85.5,1,93.2,106.4,2008,,,,,,,,
A,1,93.9,L,2.8,Serviceberry,12022,0,0,9.4,1,93.9,107.8,,,,,,,,,
A,1,94.4,L,0.5,Red Maple,4469,16.7,23,31.9,1,94.4,105.5,2008,,,,,,,,
A,1,97,L,0.8,Black Cherry,12021,0,0,10.1,1,97,105.8,,,,,,,,,
A,1,97.6,L,0.2,Black Cherry,4468,14.2,17,16,1,97.6,105.2,2008,,,,,,,,
A,1,99.1,L,0.1,Serviceberry,12010,0,0,3.5,1,99.1,105.1,,,,,,,,,
A,1,0.1,R,2.5,Black Oak,4850,231.1,235.4,242,1,0.1,102.5,2008,,,,,,,,
A,1,0.6,R,0.4,Autumn Olive,10766,0,0,5.3,1,0.6,104.6,,,,,,,,,
A,1,0.6,R,0.4,Autumn Olive,10766,0,0,3.8,2,0.6,104.6,,,,,,,,,
A,1,1.2,R,1.2,Serviceberry,,0,10.3,0,1,1.2,103.8,2008,,,,,,,,N
A,1,2.1,R,0,Autumn Olive,10768,0,0,4.4,1,2.1,105,,,,,,,,,
A,1,3.5,R,2.7,Pignut Hickory,4851,41,45.1,48.4,1,3.5,102.3,2008,,,,,,,,
A,1,4.1,R,0.6,Black Cherry,10767,0,0,3.1,1,4.1,104.4,,,,,,,,,
A,1,4.3,R,1.5,Black Cherry,4853,13.7,15.9,15.7,1,4.3,103.5,2008,,,,,,,,
A,1,5.3,R,3.3,Serviceberry,4852,11.4,13.4,14.9,1,5.3,101.7,2008,,,,,,,,
A,1,5.7,R,1.3,Black Cherry,10769,0,0,4.1,1,5.7,103.7,,,,,,,,,
A,1,6.8,R,1.4,Autumn Olive,10770,0,0,3.1,1,6.8,103.6,,,,,,,,,
A,1,7.3,R,1.6,Black Cherry,10771,0,0,9.1,1,7.3,103.4,,,,,,,,,
A,1,8.9,R,0.4,Black Cherry,4855,13.1,15.9,18.5,1,8.9,104.6,2008,,,,,,,,
A,1,9.1,R,3,Black Cherry,10772,0,0,4.7,1,9.1,102,,,,,,,,,
A,1,9.3,R,2.9,Black Cherry,4854,11.4,14.7,16,1,9.3,102.1,2008,,,,,,,,
A,1,11.1,R,2.6,Serviceberry,10773,0,0,10.1,1,11.1,102.4,,,,,,,,,
A,1,11.6,R,0.9,Serviceberry,10774,0,0,10.4,1,11.6,104.1,,,,,,,,,
A,1,11.7,R,2.9,Red Maple,4856,12.4,17.8,21.3,1,11.7,102.1,2008,,,,,,,,
A,1,13,R,1.8,Serviceberry,223,0,10.4,11.7,1,13,103.2,2008,,,,,,,,
A,1,14.1,R,1.1,Serviceberry,4857,13.9,15.2,16.3,1,14.1,103.9,2008,,,,,,,,
A,1,15.3,R,4,Black Cherry,4858,16.5,22.7,22,1,15.3,101,2008,,,,,,,,
A,1,16.1,R,0.4,Serviceberry,4860,12,13.6,14,1,16.1,104.6,2008,,,,,,,,
A,1,16.6,R,2.5,Serviceberry,4859,21.8,24.3,27,1,16.6,102.5,2008,,,,,,,,
A,1,19,R,2,Pignut Hickory,4862,158.3,162.8,168.5,1,19,103,2008,,,,,,,,
A,1,19.5,R,2.8,Serviceberry,219,0,11.5,12.3,1,19.5,102.2,2008,,,,,,,,
A,1,19.9,R,4.4,Serviceberry,4861,21.5,25,28.4,1,19.9,100.6,2008,,,,,,,,
A,1,20.7,R,1.5,Black Cherry,4863,14.8,16.5,16,1,20.7,103.5,2008,,,,,,,,
A,1,21.9,R,3.5,Black Cherry,4864,14,16.9,0,1,21.9,101.5,2008,,,,,,,,N
A,1,23,R,1.2,Black Cherry,4865,22.2,28.9,28.9,1,23,103.8,2008,,,,,,,,
A,1,25.6,R,2.5,Black Cherry,4866,15.7,19.8,19.6,1,25.6,102.5,2008,,,,,,,,
A,1,27.8,R,2.8,Black Cherry,10775,0,0,5.7,1,27.8,102.2,,,,,,,,,
A,1,28.2,R,1.3,Black Cherry,4867,15.5,16.2,10.5,1,28.2,103.7,2008,,,,,,,,R
A,1,29.3,R,3.9,Serviceberry,4868,12.6,15.9,17.2,1,29.3,101.1,2008,,,,,,,,
A,1,30.1,R,3.8,Serviceberry,10776,0,0,8.8,1,30.1,101.2,,,,,,,,,
A,1,32,R,4.6,Serviceberry,10777,0,0,9.4,1,32,100.4,,,,,,,,,
A,1,32,R,4.8,Black Cherry,4869,10.5,12.9,12.5,1,32,100.2,2008,,,,,,,,
A,1,34.5,R,4.6,Serviceberry,4870,10.5,13.8,13.5,1,34.5,100.4,2008,,,,,,,,
A,1,36.4,R,1.8,Black/Red Oak hybrid,10778,0,0,8.8,1,36.4,103.2,,,,,,,,,
A,1,36.5,R,3.2,Pignut Hickory,8553,122.5,131.6,137.2,1,36.5,101.8,2008,,,,,,,,
A,1,38.2,R,3,Witch Hazel,10779,0,0,7.9,1,38.2,102,,,,,,,,,
A,1,38.6,R,4.6,Witch Hazel,10780,0,0,6.9,1,38.6,100.4,,,,,,,,,
A,1,39.5,R,3.9,Serviceberry,10781,0,0,5.7,1,39.5,101.1,,,,,,,,,
A,1,40.4,R,2.7,Flowering Dogwood,4872,13.3,15.3,15.2,1,40.4,102.3,2008,,,,,,,,
A,1,40.5,R,3.6,Pignut Hickory,274,83.6,87.6,88.5,1,40.5,101.4,2008,,,,,,,,
A,1,41.7,R,1.1,Serviceberry,4874,15.3,17.9,20.7,1,41.7,103.9,2008,,,,,,,,
A,1,41.7,R,1.1,Serviceberry,4874,0,0,6.3,2,41.7,103.9,,,,,,,,,
A,1,41.9,R,1.8,Black Cherry,10782,0,0,6,1,41.9,103.2,,,,,,,,,
A,1,41.9,R,2.5,Flowering Dogwood,10783,0,0,9.4,1,41.9,102.5,,,,,,,,,
A,1,43.3,R,3.6,Witch Hazel,10784,0,0,4.1,1,43.3,101.4,,,,,,,,,
A,1,44.4,R,2.2,Black Cherry,4875,20.7,22.6,23.9,1,44.4,102.8,2008,,,,,,,,
A,1,44.6,R,1.6,Witch Hazel,10785,0,0,10.4,1,44.6,103.4,,,,,,,,,
A,1,44.6,R,1.6,Witch Hazel,10785,0,0,9.4,2,44.6,103.4,,,,,,,,,
A,1,46.5,R,4.1,Black Cherry,4876,18.9,22,24,1,46.5,100.9,2008,,,,,,,,
A,1,46.8,R,3.4,Witch Hazel,10786,0,0,5.7,1,46.8,101.6,,,,,,,,,
A,1,47.8,R,2,Black Cherry,4878,11.5,13.2,13.6,1,47.8,103,2008,,,,,,,,
A,1,48.6,R,2.3,Witch Hazel,10787,0,0,6.3,1,48.6,102.7,,,,,,,,,
A,1,48.6,R,2.3,Witch Hazel,10787,0,0,5.3,2,48.6,102.7,,,,,,,,,
A,1,49.4,R,1.1,Pignut Hickory,4879,131.9,134.8,140.3,1,49.4,103.9,2008,,,,,,,,
A,1,49.7,R,3.7,Witch Hazel,4880,12.2,13.9,16.1,1,49.7,101.3,2008,,,,,,,,
A,1,49.7,R,3.7,Witch Hazel,4880,0,0,6,2,49.7,101.3,,,,,,,,,
A,1,49.7,R,3.7,Witch Hazel,4880,0,0,5.7,3,49.7,101.3,,,,,,,,,
A,1,50,R,2,Serviceberry,10788,0,0,6.9,1,50,103,,,,,,,,,
A,1,50.2,R,4.4,Witch Hazel,4881,15.3,16.9,17.5,1,50.2,100.6,2008,,,,,,,,
A,1,50.2,R,4.4,Witch Hazel,4881,0,0,11.9,2,50.2,100.6,,,,,,,,,
A,1,50.2,R,4.4,Witch Hazel,4881,0,0,4.4,3,50.2,100.6,,,,,,,,,
A,1,50.2,R,4.4,Witch Hazel,4881,0,0,3.8,4,50.2,100.6,,,,,,,,,
A,1,51.2,R,1.5,Black Cherry,4882,28.9,29.6,29.9,1,51.2,103.5,2008,,,,,,,,
A,1,52.2,R,3,Witch Hazel,4883,10.1,0,0,1,52.2,102,2008,,,,,down and dead,,,
A,1,54.4,R,1.2,Witch Hazel,4884,11.1,12.2,12.9,1,54.4,103.8,2008,,,,,,,,
A,1,54.4,R,1.2,Witch Hazel,4884,0,0,4.7,2,54.4,103.8,,,,,,,,,
A,1,54.4,R,1.2,Witch Hazel,4884,0,0,3.1,3,54.4,103.8,,,,,,,,,
A,1,54.8,R,1.7,Witch Hazel,10789,0,0,4.1,1,54.8,103.3,,,,,,,,,
A,1,55.2,R,1.3,Black Cherry,4886,18.4,20.8,0,1,55.2,103.7,2008,,,,,,,,S
A,1,56,R,3.6,White Oak,4885,97.9,102.9,106.1,1,56,101.4,2008,,,,,,,,
A,1,56.4,R,3,Black Cherry,4877,10.1,0,0,1,56.4,102,2008,,,,,dead standing,,S,
A,1,57.3,R,1.1,Black Cherry,4887,18,19.6,0,1,57.3,103.9,2008,,,,,,,,S
A,1,57.3,R,3.4,Witch Hazel,10790,0,0,7.2,1,57.3,101.6,,,,,,,,,
A,1,57.3,R,3.4,Witch Hazel,10790,0,0,4.7,2,57.3,101.6,,,,,,,,,
A,1,58.6,R,1.5,Serviceberry,10791,0,0,5.3,1,58.6,103.5,,,,,,,,,
A,1,58.9,R,3.7,Witch Hazel,4888,16.1,16.8,17.6,1,58.9,101.3,2008,,,,,,,,
A,1,58.9,R,3.7,Witch Hazel,4888,0,0,11.6,2,58.9,101.3,,,,,,,,,
A,1,58.9,R,3.7,Witch Hazel,4888,0,0,4.1,3,58.9,101.3,,,,,,,,,
A,1,60,R,1.5,Black Cherry,4889,35.7,39.7,40.7,1,60,103.5,2008,,,,,,,,
A,1,60.7,R,5,Witch Hazel,10795,0,0,10.4,1,60.7,100,,,,,,,,,
A,1,60.9,R,3.8,Red Maple,10792,0,0,4.4,1,60.9,101.2,,,,,,,,,
A,1,61.9,R,3.1,Witch Hazel,10794,0,0,5,1,61.9,101.9,,,,,,,,,
A,1,62.2,R,1.7,Witch Hazel,10793,0,0,7.5,1,62.2,103.3,,,,,,,,,
A,1,62.6,R,4.5,Witch Hazel,4890,11.4,12.9,13.2,1,62.6,100.5,2008,,,,,,,,
A,1,62.6,R,4.5,Witch Hazel,4890,0,0,7.2,2,62.6,100.5,,,,,,,,,
A,1,62.6,R,4.5,Witch Hazel,4890,0,0,4.7,3,62.6,100.5,,,,,,,,,
A,1,62.6,R,4.5,Witch Hazel,4890,0,0,3.1,4,62.6,100.5,,,,,,,,,
A,1,63.1,R,2.3,Red Maple,10796,0,0,7.5,1,63.1,102.7,,,,,,,,,
A,1,63.4,R,3.4,Red Maple,4891,11.8,15.8,20.4,1,63.4,101.6,2008,,,,,,,,
A,1,65,R,2.6,Witch Hazel,10799,0,0,5.7,1,65,102.4,,,,,,,,,
A,1,65.1,R,2.4,Witch Hazel,4893,11.3,0,0,1,65.1,102.6,2008,,,,,dead fallen,,,
A,1,65.1,R,5,Witch Hazel,10797,0,0,3.8,1,65.1,100,,,,,,,,,
A,1,65.2,R,3.6,Witch Hazel,10798,0,0,3.1,1,65.2,101.4,,,,,,,,,
A,1,65.5,R,3.5,Black Cherry,4892,16.5,28.6,23.5,1,65.5,101.5,2008,,,,,,,,
A,1,66.1,R,4.8,Witch Hazel,4894,13,14.7,15.8,1,66.1,100.2,2008,,,,,,,,
A,1,66.1,R,4.8,Witch Hazel,4894,0,0,3.5,2,66.1,100.2,,,,,,,,,
A,1,66.2,R,1.1,Black Cherry,4896,11.2,13.5,14.6,1,66.2,103.9,2008,,,,,,,,
A,1,66.2,R,3.2,White Oak,4895,156.1,158.9,165.5,1,66.2,101.8,2008,,,,,,,,
A,1,67.5,R,1.2,Witch Hazel,4897,12,13.9,14.5,1,67.5,103.8,2008,,,,,,,,
A,1,67.8,R,5,Witch Hazel,12001,0,0,8.2,1,67.8,100,,,,,,,,,
A,1,67.8,R,5,Witch Hazel,12001,0,0,3.5,2,67.8,100,,,,,,,,,
A,1,68.3,R,5,Witch Hazel,12002,0,0,4.1,1,68.3,100,,,,,,,,,
A,1,68.5,R,0.7,Witch Hazel,12003,0,0,9.1,1,68.5,104.3,,,,,,,,,
A,1,69.1,R,2.7,Witch Hazel,12000,0,0,6.3,1,69.1,102.3,,,,,,,,,
A,1,69.4,R,2.5,Black Cherry,4898,42.5,43.7,43.4,1,69.4,102.5,2008,,,,,,,,
A,1,69.5,R,0.8,Red Maple,12004,0,0,9.1,1,69.5,104.2,,,,,,,,,
A,1,70,R,4.7,Red Maple,12005,0,0,5,1,70,100.3,,,,,,,,,
A,1,70.4,R,2.3,Choke Cherry,12007,0,0,6.3,1,70.4,102.7,,,,,,,,,
A,1,70.7,R,1,Red Maple,4899,14.9,17.4,0,1,70.7,104,2008,,,,,,,,
A,1,71.3,R,4.7,Red Maple,12006,0,0,6.9,1,71.3,100.3,,,,,,,,,
A,1,72.5,R,3.1,Serviceberry,12012,0,0,5.7,1,72.5,101.9,,,,,,,,,
A,1,73.4,R,4.7,Red Maple,12008,0,0,6.6,1,73.4,100.3,,,,,,,,,
A,1,74.3,R,2,White Oak,4900,102.2,109.4,113.8,1,74.3,103,2008,,,,,,,,
A,1,75.2,R,1.9,Serviceberry,215,0,10.5,0,1,75.2,103.1,2008,,,,,,,,
A,1,75.3,R,5,Red Maple,12013,0,0,8.5,1,75.3,100,,,,,,,,,
A,1,75.4,R,5,Red Maple,12009,0,0,5.3,1,75.4,100,,,,,,,,,
A,1,75.7,R,3.6,Red Maple,12010,0,0,6.6,1,75.7,101.4,,,,,,,,,
A,1,75.7,R,5,Red Maple,12014,0,0,7.5,1,75.7,100,,,,,,,,,
A,1,77.2,R,1.4,Red Maple,4447,26.5,32.3,37.1,1,77.2,103.6,2008,,,,,,,,
A,1,78.3,R,4,Red Maple,4448,23.7,28.1,30.6,1,78.3,101,2008,,,,,,,,
A,1,79.7,R,3.7,Black Cherry,4449,12.1,13.2,7.8,1,79.7,101.3,2008,,,,,,,,R
A,1,79.8,R,2.7,Red Maple,12011,0,0,11.3,1,79.8,102.3,,,,,,,,,
A,1,80.2,R,2.4,Red Maple,4450,10.1,11.5,0,1,80.2,102.6,2008,,,,,,,,N
A,1,81,R,1,Black Cherry,4453,12.5,14.9,0,1,81,104,2008,,,,,,,,S
A,1,82,R,4.3,Red Maple,4452,11.7,14.3,14.2,1,82,100.7,2008,,,,,,,,
A,1,82.3,R,1,Red Maple,4454,16.9,22.5,26.4,1,82.3,104,2008,,,,,,,,
A,1,84.3,R,3.2,Pignut Hickory,4455,27.6,30.1,31.6,1,84.3,101.8,2008,,,,,,,,
A,1,84.4,R,1.8,Black Cherry,12015,0,0,3.5,1,84.4,103.2,,,,,,,,,
